# x, y, z, vx, vy, 0_x, 0_y, 1_x, 1_y
0.789474,-4.473684,0.000000,0.575887,1.165485,0.000000,0.000000,-1.129500,5.093379
0.789474,-3.947368,0.000000,0.635184,1.134258,0.000000,0.000000,4.621590,23.633710
0.789474,-3.421053,0.000000,0.705530,1.091892,0.000000,0.000000,268.696778,510.066112
0.789474,-2.894737,0.000000,0.788988,1.033198,0.000000,0.000000,0.000000,0.000000
0.789474,-2.368421,0.000000,0.887014,0.950372,0.000000,0.000000,40.649009,41.075230
0.789474,-1.842105,0.000000,0.998688,0.832240,0.000000,0.000000,470.640239,120.069355
0.789474,-1.315789,0.000000,1.117081,0.664929,0.000000,0.000000,616.897293,-185.310649
0.789474,-0.789474,0.000000,1.224264,0.437237,0.000000,0.000000,0.000000,0.000000
0.789474,-0.263158,0.000000,1.290885,0.153677,1290.800043,2326.769572,0.000000,0.000000
0.789474,0.263158,0.000000,1.290885,-0.153677,0.000000,0.000000,1290.800043,-2326.769572
0.789474,0.789474,0.000000,1.224264,-0.437237,0.000000,0.000000,0.000000,0.000000
0.789474,1.315789,0.000000,1.117081,-0.664929,616.897293,185.310649,0.000000,0.000000
0.789474,1.842105,0.000000,0.998688,-0.832240,470.640239,-120.069355,0.000000,0.000000
0.789474,2.368421,0.000000,0.887014,-0.950372,40.649009,-41.075230,0.000000,0.000000
0.789474,2.894737,0.000000,0.788988,-1.033198,0.000000,0.000000,0.000000,0.000000
0.789474,3.421053,0.000000,0.705530,-1.091892,268.696778,-510.066112,0.000000,0.000000
0.789474,3.947368,0.000000,0.635184,-1.134258,4.621590,-23.633710,0.000000,0.000000
0.789474,4.473684,0.000000,0.575887,-1.165485,-1.129500,-5.093379,0.000000,0.000000
0.789474,5.000000,0.000000,0.525657,-1.188985,0.000000,0.000000,0.000000,0.000000
1.315789,-5.000000,0.000000,0.414985,1.231985,0.000000,0.000000,0.000000,0.000000
1.315789,-4.473684,0.000000,0.458029,1.216639,0.000000,0.000000,0.000000,0.000000
1.315789,-3.947368,0.000000,0.510170,1.195712,0.000000,0.000000,0.154793,44.686741
1.315789,-3.421053,0.000000,0.574189,1.166322,0.000000,0.000000,46971.237465,138741.044530
1.315789,-2.894737,0.000000,0.653762,1.123653,0.000000,0.000000,0.000000,0.000000
1.315789,-2.368421,0.000000,0.753381,1.059442,0.000000,0.000000,3124.223485,4527.104546
1.315789,-1.842105,0.000000,0.877200,0.959437,0.000000,0.000000,0.000000,0.000000
1.315789,-1.315789,0.000000,1.024432,0.800337,0.000000,0.000000,0.000000,0.000000
